"Column Name","Label"
"DP4_0123CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!15.0 to 19.9 percent"
"DP4_0124C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!20.0 to 24.9 percent"
"DP4_0124CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!20.0 to 24.9 percent"
"DP4_0125C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!25.0 to 29.9 percent"
"DP4_0125CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!25.0 to 29.9 percent"
"DP4_0126C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!30.0 to 34.9 percent"
"DP4_0126CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!30.0 to 34.9 percent"
"DP4_0127C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!35.0 percent or more"
"DP4_0127CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!35.0 percent or more"
"DP4_0128C","Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!Not computed"
"DP4_0128CA","Annotation of Number!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 2019!!Owner-occupied housing units!!Not computed"
"DP4_0129C","Number!!GROSS RENT!!Renter-occupied housing units"
"DP4_0129CA","Annotation of Number!!GROSS RENT!!Renter-occupied housing units"
